instrument,register,n_samples,mean_centroid_hz,mean_spread_hz,V1_spread_centroid,V2_energy_1khz,V3_inv_formant_disp,V4_mfcc1,V1_z,V2_z,V3_z,V4_z,Volume_index,Density_index
Violoncello+sordina,médium,14,1332.0,2764.4,2.1403,0.9862,,37.13,1.180,0.884,0.000,0.510,0.858,-0.858
Contrabass_Clarinet_Bb,médium,4,1082.7,1693.0,1.5937,0.9154,,46.08,0.259,0.673,0.000,1.515,0.816,-0.816
Bassoon,bas_médium,12,910.6,1676.1,1.8360,0.9768,,39.90,0.667,0.856,0.000,0.821,0.781,-0.781
Horn,grave,14,526.8,965.4,1.8378,0.9990,,39.25,0.671,0.922,0.000,0.748,0.780,-0.780
Bassoon,grave,12,747.1,1315.5,1.7581,0.9833,,40.82,0.536,0.876,0.000,0.924,0.779,-0.779
Bass_Tuba,aigu,9,397.7,706.8,1.7287,1.0000,,40.31,0.487,0.925,0.000,0.867,0.760,-0.760
Horn+sordina,pédale,2,920.6,1954.5,2.0929,0.9682,,35.68,1.100,0.830,0.000,0.347,0.759,-0.759
Bass_Clarinet_Bb,grave,17,1014.9,1398.4,1.3819,0.8911,,47.26,-0.097,0.601,0.000,1.647,0.717,-0.717
Violoncello_Ensemble,médium,12,1077.9,1645.7,1.5464,0.9701,,42.17,0.180,0.836,0.000,1.075,0.697,-0.697
Contrabass_Clarinet_Bb,grave,5,1145.4,1620.9,1.4256,0.9230,,44.88,-0.024,0.696,0.000,1.379,0.684,-0.684
Horn,médium,17,594.5,914.5,1.5469,0.9960,,41.02,0.181,0.913,0.000,0.947,0.680,-0.680
Trombone+sordina_wah,grave,26,971.5,1993.3,2.0425,0.9465,,34.70,1.015,0.766,0.000,0.237,0.673,-0.673
Bass_Tuba,suraigu,3,458.9,760.4,1.6276,0.9998,,39.15,0.317,0.924,0.000,0.737,0.659,-0.659
Trombone+sordina_straight,grave,13,853.2,1480.9,1.7657,0.9740,,37.61,0.549,0.848,0.000,0.564,0.653,-0.653
Contrabass,aigu,35,1404.7,2581.6,1.8827,0.9374,,36.71,0.746,0.739,0.000,0.464,0.650,-0.650
Violoncello,médium,30,1392.9,2368.0,1.7246,0.9389,,38.30,0.480,0.743,0.000,0.642,0.622,-0.622
Violoncello+sordina_piombo,médium,27,2090.3,3698.4,1.9821,0.9703,,33.38,0.914,0.837,0.000,0.089,0.613,-0.613
Trombone+sordina_straight,médium,12,832.0,1349.3,1.6279,0.9790,,37.86,0.317,0.863,0.000,0.592,0.591,-0.591
Contrabass_Clarinet_Bb,aigu,6,1282.7,1739.5,1.3715,0.8556,,44.80,-0.115,0.495,0.000,1.371,0.584,-0.584
Guitar,aigu,26,1089.0,1898.1,1.7401,0.9487,,36.56,0.506,0.772,0.000,0.446,0.575,-0.575
Trombone,grave,19,789.9,1065.3,1.3564,0.9546,,42.08,-0.140,0.790,0.000,1.066,0.572,-0.572
Bass_Trombone,aigu,4,934.1,1212.6,1.2932,0.9523,,42.78,-0.247,0.783,0.000,1.144,0.560,-0.560
Trombone,médium,12,860.1,1213.2,1.4153,0.9394,,41.22,-0.041,0.745,0.000,0.969,0.558,-0.558
Viola+sordina,grave,7,1430.6,2487.2,1.7437,0.9078,,36.45,0.512,0.651,0.000,0.434,0.532,-0.532
Bass_Trombone,pédale,4,931.7,1115.5,1.2429,0.8855,,44.41,-0.331,0.584,0.000,1.327,0.527,-0.527
Trombone+sordina_harmon,médium,12,1255.6,2545.6,2.0747,0.9517,,30.08,1.069,0.782,0.000,-0.281,0.523,-0.523
Bass_Flute,médium,3,1717.4,2510.3,1.4938,0.8872,,40.39,0.091,0.590,0.000,0.877,0.519,-0.519
Contrebasson,aigu,12,549.5,946.3,1.7191,0.9977,0.003138,47.07,0.471,0.918,-1.000,1.626,0.504,-0.504
Bassoon,haut_médium,12,1100.9,1853.8,1.7146,0.9107,,35.99,0.463,0.659,0.000,0.382,0.501,-0.501
Contrebasson,médium,11,489.3,794.3,1.6278,0.9985,0.003138,47.64,0.317,0.921,-1.000,1.689,0.482,-0.482
Contrabass+sordina,aigu,12,1835.6,3146.2,1.7346,0.9375,,34.31,0.497,0.739,0.000,0.193,0.476,-0.476
Contrebasson,grave,13,426.7,682.4,1.6027,0.9987,0.003138,47.63,0.275,0.921,-1.000,1.688,0.471,-0.471
Clarinet_Bb,chalumeau,13,1116.0,1666.2,1.4937,0.8910,,38.49,0.091,0.601,0.000,0.663,0.451,-0.451
Trombone+sordina_wah,médium,24,1381.6,2579.9,1.7681,0.9320,,33.24,0.553,0.723,0.000,0.074,0.450,-0.450
Harp,aigu,24,1079.4,1678.8,1.6835,0.9599,,33.32,0.411,0.806,0.000,0.083,0.433,-0.433
Horn+sordina,aigu,13,872.1,1544.9,1.8308,0.9706,,30.24,0.659,0.838,0.000,-0.263,0.411,-0.411
Trombone,pédale,1,860.0,979.2,1.1386,0.9069,,42.30,-0.507,0.648,0.000,1.090,0.410,-0.410
Contrabass_Flute,médium,4,1681.3,2431.0,1.4584,0.7619,,41.08,0.032,0.216,0.000,0.954,0.401,-0.401
Bass_Clarinet_Bb,aigu,14,1030.4,1222.9,1.1933,0.8120,,43.58,-0.415,0.366,0.000,1.234,0.395,-0.395
Viola+sordina,médium,22,1538.4,2654.1,1.7493,0.8825,,33.25,0.522,0.575,0.000,0.075,0.391,-0.391
Trombone,aigu,8,1092.9,1554.3,1.4201,0.9204,,36.81,-0.033,0.688,0.000,0.475,0.377,-0.377
Guitar,suraigu,2,1405.0,2035.5,1.4384,0.9360,,34.41,-0.002,0.735,0.000,0.205,0.312,-0.312
Bass_Trombone,médium,12,1210.2,1246.1,1.0317,0.7730,,44.70,-0.687,0.249,0.000,1.359,0.307,-0.307
Trombone+sordina_cup,grave,13,1114.4,1781.1,1.5963,0.8247,,34.83,0.264,0.403,0.000,0.252,0.306,-0.306
Horn,aigu,13,747.6,968.1,1.2996,0.9937,,34.52,-0.236,0.906,0.000,0.218,0.296,-0.296
Violoncello_Ensemble,aigu,12,1907.2,2338.8,1.2671,0.8739,,37.89,-0.291,0.550,0.000,0.596,0.285,-0.285
Bass_Clarinet_Bb,médium,6,1245.3,1462.7,1.1990,0.6348,,45.07,-0.405,-0.162,0.000,1.402,0.278,-0.278
Flute,grave,22,1362.7,2127.9,1.5901,0.8726,,32.88,0.253,0.546,0.000,0.034,0.278,-0.278
Viola,grave,9,1635.2,2155.2,1.3235,0.8614,,37.18,-0.196,0.513,0.000,0.516,0.278,-0.278
Bassoon,aigu,6,1236.7,2063.1,1.6752,0.8741,,31.17,0.397,0.550,0.000,-0.159,0.263,-0.263
Violoncello+sordina,aigu,13,2493.0,3636.1,1.4979,0.9135,,32.35,0.098,0.668,0.000,-0.026,0.247,-0.247
Trombone+sordina_cup,médium,12,1167.5,1777.8,1.5240,0.8447,,33.33,0.142,0.463,0.000,0.084,0.230,-0.230
Bass_Trombone,grave,24,1266.2,1225.8,0.9729,0.7216,,44.36,-0.786,0.096,0.000,1.321,0.210,-0.210
Violin_Ensemble,grave,5,1676.3,1671.6,1.0020,0.8920,,38.96,-0.737,0.604,0.000,0.716,0.194,-0.194
Trombone+sordina_straight,aigu,6,1209.8,1468.0,1.2451,0.8973,,34.11,-0.328,0.619,0.000,0.171,0.154,-0.154
Contrabass_Flute,aigu,3,2403.0,2990.8,1.2691,0.8609,,34.71,-0.287,0.511,0.000,0.239,0.154,-0.154
Violoncello,aigu,36,2111.4,2856.8,1.3869,0.7865,,34.74,-0.089,0.290,0.000,0.242,0.148,-0.148
Sax_Alto,grave,13,1533.2,1975.2,1.3191,0.7898,,35.18,-0.203,0.299,0.000,0.292,0.129,-0.129
Viola,médium,30,1776.1,2216.6,1.2630,0.8079,,34.39,-0.297,0.353,0.000,0.203,0.086,-0.086
Violoncello+sordina_piombo,aigu,26,3487.3,4403.5,1.3046,0.9358,,30.07,-0.227,0.734,0.000,-0.282,0.075,-0.075
Clarinet_Bb,gorge,6,1305.5,1926.9,1.4839,0.6350,,35.04,0.075,-0.161,0.000,0.275,0.063,-0.063
Contrabass,suraigu,14,2198.3,3139.1,1.4481,0.7242,,32.50,0.014,0.104,0.000,-0.009,0.037,-0.037
Trombone+sordina_wah,aigu,12,1736.1,2608.1,1.4605,0.8055,,30.13,0.035,0.346,0.000,-0.276,0.035,-0.035
Violin+sordina,grave,5,2553.2,3073.5,1.2216,0.8533,,32.29,-0.367,0.488,0.000,-0.033,0.030,-0.030
Trumpet_C+sordina_wah,grave,12,1684.2,2430.9,1.4146,0.7773,,31.21,-0.042,0.262,0.000,-0.154,0.022,-0.022
Violin,grave,6,2474.6,2731.4,1.1138,0.8324,,33.86,-0.549,0.426,0.000,0.144,0.007,-0.007
Clarinet_Eb,chalumeau,5,1612.1,1783.1,1.1031,0.5478,,41.51,-0.567,-0.421,0.000,1.002,0.005,-0.005
Flute,médium,24,1855.8,2655.3,1.4501,0.8687,,27.29,0.018,0.534,0.000,-0.594,-0.014,0.014
Bass_Flute,aigu,5,3176.3,3598.0,1.2030,0.7774,,32.79,-0.399,0.262,0.000,0.023,-0.038,0.038
Violin_Ensemble,médium,12,1939.2,1829.3,0.9553,0.7985,,35.83,-0.816,0.325,0.000,0.364,-0.042,0.042
Contrabass+sordina,suraigu,7,2658.5,3600.1,1.3935,0.7242,,31.04,-0.078,0.104,0.000,-0.173,-0.049,0.049
Trombone+sordina_cup,aigu,6,1289.6,1646.5,1.2803,0.7405,,30.40,-0.268,0.153,0.000,-0.245,-0.120,0.120
Clarinet_Bb,clarine,14,1419.6,1674.3,1.2120,0.8018,,29.72,-0.383,0.335,0.000,-0.321,-0.123,0.123
Violin+sordina,médium,26,2804.7,3075.4,1.1170,0.8560,,29.08,-0.543,0.497,0.000,-0.394,-0.147,0.147
Trumpet_C+sordina_wah,médium,16,1787.8,2282.6,1.2793,0.6862,,30.10,-0.270,-0.009,0.000,-0.278,-0.186,0.186
Violoncello_Ensemble,suraigu,6,2714.4,2814.2,1.0413,0.6792,,33.37,-0.671,-0.030,0.000,0.089,-0.204,0.204
English_Horn,grave,7,1632.5,1851.8,1.1259,0.3490,,40.24,-0.528,-1.013,0.000,0.859,-0.227,0.227
Trombone+sordina_harmon,aigu,6,2342.9,3008.5,1.3195,0.7168,,27.38,-0.202,0.082,0.000,-0.584,-0.235,0.235
Violin,médium,27,2720.4,2800.1,1.0382,0.7381,,30.74,-0.676,0.146,0.000,-0.207,-0.246,0.246
Trumpet_C,grave,6,1625.9,1567.1,0.9754,0.4783,,37.06,-0.782,-0.628,0.000,0.503,-0.302,0.302
Clarinet_Eb,médium,4,1821.6,1685.6,0.9245,0.7116,,31.09,-0.868,0.067,0.000,-0.168,-0.323,0.323
Viola+sordina_piombo,médium,11,4246.6,4669.5,1.1159,0.8135,,24.76,-0.545,0.370,0.000,-0.878,-0.351,0.351
Violoncello+sordina,suraigu,14,3670.9,4093.0,1.1468,0.6917,,27.04,-0.493,0.007,0.000,-0.622,-0.369,0.369
Viola+sordina,aigu,17,2793.0,3560.4,1.3077,0.6490,,25.67,-0.222,-0.120,0.000,-0.776,-0.372,0.372
Bass_Clarinet_Bb,suraigu,15,1432.0,1371.3,0.9731,0.6456,,30.68,-0.786,-0.130,0.000,-0.213,-0.376,0.376
English_Horn,aigu,7,1909.7,1987.2,1.0443,0.7529,,26.69,-0.666,0.190,0.000,-0.661,-0.379,0.379
English_Horn,médium,12,1483.5,1646.4,1.1070,0.3750,,34.65,-0.560,-0.935,0.000,0.232,-0.421,0.421
Viola,aigu,40,2557.5,2760.2,1.0933,0.5603,,28.57,-0.583,-0.384,0.000,-0.451,-0.473,0.473
Violin+sordina_piombo,grave,11,4100.1,4639.9,1.1440,0.5538,,27.82,-0.498,-0.403,0.000,-0.534,-0.478,0.478
Oboe,grave,10,1651.0,1709.2,1.0345,0.2298,,37.43,-0.682,-1.368,0.000,0.544,-0.502,0.502
Trumpet_C,médium,8,1852.6,1765.4,0.9566,0.4022,,33.09,-0.814,-0.854,0.000,0.057,-0.537,0.537
Violoncello+sordina_piombo,suraigu,28,4822.0,4636.5,0.9885,0.6448,,25.15,-0.760,-0.132,0.000,-0.834,-0.575,0.575
Trumpet_C+sordina_wah,aigu,10,2272.0,2428.7,1.1284,0.5208,,25.07,-0.524,-0.501,0.000,-0.843,-0.623,0.623
Violoncello,suraigu,22,3322.2,3489.4,1.0680,0.4168,,28.00,-0.626,-0.811,0.000,-0.514,-0.650,0.650
Trumpet_C,aigu,5,1839.0,1812.0,0.9874,0.4193,,29.09,-0.762,-0.803,0.000,-0.392,-0.652,0.652
Viola+sordina_piombo,aigu,35,5443.1,5171.4,0.9565,0.6505,,20.63,-0.814,-0.115,0.000,-1.341,-0.757,0.757
Violin_Ensemble,aigu,12,3145.0,2662.8,0.8489,0.4570,,26.88,-0.995,-0.691,0.000,-0.640,-0.775,0.775
Sax_Alto,médium,11,2565.9,2531.7,0.9875,0.4745,,23.57,-0.761,-0.639,0.000,-1.011,-0.804,0.804
Oboe,médium,12,1988.2,2237.6,1.1217,0.2135,,28.29,-0.535,-1.416,0.000,-0.481,-0.811,0.811
Viola+sordina,suraigu,6,3717.7,4058.9,1.1027,0.4647,,20.93,-0.567,-0.668,0.000,-1.307,-0.848,0.848
Violin+sordina,aigu,25,4448.3,3957.0,0.8962,0.4741,,22.65,-0.915,-0.640,0.000,-1.114,-0.890,0.890
Violin,aigu,37,3781.0,3459.4,0.9212,0.3629,,24.95,-0.873,-0.971,0.000,-0.857,-0.900,0.900
Trumpet_C+sordina_straight,grave,6,2625.6,1943.8,0.7395,0.2477,,30.61,-1.179,-1.314,0.000,-0.221,-0.905,0.905
Violin+sordina_piombo,médium,24,5322.3,4727.3,0.9129,0.3968,,23.44,-0.887,-0.870,0.000,-1.026,-0.928,0.928
Trumpet_C+sordina_straight,médium,8,2593.8,1942.6,0.7507,0.2062,,28.74,-1.160,-1.438,0.000,-0.431,-1.010,1.010
Oboe,aigu,7,2154.8,2241.1,1.0417,0.2491,,23.07,-0.670,-1.310,0.000,-1.068,-1.016,1.016
Trumpet_C+sordina_wah,suraigu,29,2934.2,2942.3,1.0793,0.3938,,18.39,-0.607,-0.879,0.000,-1.593,-1.026,1.026
Piccolo,grave,6,2240.6,2037.4,0.9088,0.2920,,23.18,-0.894,-1.183,0.000,-1.056,-1.044,1.044
Trumpet_C,suraigu,14,2278.6,2172.5,0.9571,0.3220,,21.10,-0.813,-1.093,0.000,-1.288,-1.065,1.065
Flute,aigu,24,3047.8,3786.5,1.2626,0.1459,,20.12,-0.298,-1.617,0.000,-1.399,-1.105,1.105
Viola,suraigu,24,3709.3,3643.9,0.9893,0.1583,,22.71,-0.758,-1.580,0.000,-1.108,-1.149,1.149
Trumpet_C+sordina_straight,aigu,5,2684.7,1989.6,0.7431,0.1807,,24.86,-1.173,-1.514,0.000,-0.867,-1.185,1.185
Trumpet_C+sordina_harmon,grave,6,5548.9,3900.9,0.7096,0.3578,,19.90,-1.229,-0.987,0.000,-1.424,-1.213,1.213
Trumpet_C+sordina_cup,grave,6,2634.3,2301.9,0.8727,0.0264,,25.07,-0.955,-1.973,0.000,-0.843,-1.257,1.257
Harp,suraigu,19,2987.4,2542.0,0.8877,0.0224,,24.23,-0.930,-1.985,0.000,-0.937,-1.284,1.284
Trumpet_C+sordina_harmon,médium,8,5274.8,3799.7,0.7465,0.2903,,18.56,-1.167,-1.188,0.000,-1.573,-1.309,1.309
Trumpet_C+sordina_cup,médium,8,2978.2,2504.0,0.8432,0.0091,,22.10,-1.004,-2.025,0.000,-1.176,-1.402,1.402
Viola+sordina_piombo,suraigu,28,6081.0,5061.9,0.8744,0.2160,,15.81,-0.952,-1.409,0.000,-1.882,-1.414,1.414
Clarinet_Bb,suraigu,9,1886.0,1635.2,0.8598,0.0674,,19.46,-0.976,-1.851,0.000,-1.472,-1.433,1.433
Violin,suraigu,25,5030.5,4178.0,0.8341,0.0030,,20.61,-1.020,-2.043,0.000,-1.343,-1.469,1.469
Violin_Ensemble,suraigu,12,4062.8,3088.5,0.7609,0.0008,,21.64,-1.143,-2.049,0.000,-1.228,-1.474,1.474
Piccolo,médium,7,2780.2,2468.8,0.8879,0.0000,,18.85,-0.929,-2.052,0.000,-1.541,-1.507,1.507
Flute,suraigu,6,5398.9,5255.8,0.9852,0.0000,,16.99,-0.765,-2.052,0.000,-1.749,-1.522,1.522
Trumpet_C+sordina_straight,suraigu,15,3228.7,2383.8,0.7384,0.1356,,17.01,-1.181,-1.648,0.000,-1.748,-1.526,1.526
Clarinet_Eb,aigu,5,3006.4,2220.9,0.7698,0.0001,,19.58,-1.128,-2.051,0.000,-1.459,-1.546,1.546
Violin+sordina_piombo,aigu,23,7987.8,5337.6,0.6786,0.1238,,16.72,-1.282,-1.683,0.000,-1.780,-1.582,1.582
Violin+sordina,suraigu,12,5931.8,4414.3,0.7461,0.0054,,18.33,-1.168,-2.036,0.000,-1.599,-1.601,1.601
Oboe,suraigu,6,2902.5,2222.0,0.7825,0.0000,,17.06,-1.107,-2.052,0.000,-1.742,-1.633,1.633
Trumpet_C+sordina_cup,aigu,5,3463.8,2790.3,0.8060,0.0041,,16.20,-1.067,-2.040,0.000,-1.838,-1.648,1.648
Piccolo,aigu,14,4050.2,2756.8,0.6885,0.0000,,13.72,-1.265,-2.052,0.000,-2.116,-1.811,1.811
Trumpet_C+sordina_harmon,aigu,5,6024.5,3698.4,0.6148,0.0506,,13.47,-1.389,-1.901,0.000,-2.145,-1.812,1.812
Violin+sordina_piombo,suraigu,22,8712.0,5232.4,0.6046,0.0054,,13.44,-1.406,-2.036,0.000,-2.148,-1.863,1.863
Trumpet_C+sordina_cup,suraigu,15,4615.1,3353.3,0.7406,0.0012,,10.10,-1.177,-2.048,0.000,-2.522,-1.916,1.916
Trumpet_C+sordina_harmon,suraigu,15,6541.4,3895.8,0.5986,0.0120,,7.84,-1.416,-2.016,0.000,-2.777,-2.070,2.070
